Cutting of pipework Road Crossing & laying in verge Water Mains,Dust inhalation,FFP-3 face masks to be worn by operatives when cutting and dust suppression water bottle to be used
 removal of palisade fencing at linden avenue and nwl boundary., working with plant, daily inspection sheets completed for all plant activities
 removal of palisade fencing at linden avenue and nwl boundary., lifting operations.,lift plan to be carried out and adhered to
trial holes, noise, don’t keep machinery running unnecessarily
gravity sewer and rising main,Noise,keep excess noise to a minimum and inform residents if noise level cannot be avoided only in the case one off operations
"excavation, shutters, mesh and concrete", manual handling small plant and materials, all uneven ground will be levelled out further guidance refer to h&s manual handling at work
constructing a concrete plinth to cap off storage pipe risers, working with ready mix concrete, site operatives should use safe handling techniques when working with wet concrete; concrete can be heavy
dry side roof beam shutters steel fix and concrete, failure of the beam steel fixing on beams,works to be checked in accordance with the design
 excavation works, plant breakdown/failure, all excavators to be supplied with check valves
 excavation works, plant movements, all personnel to wear high visibility clothing
" service reservoir confined space entry – column, base and wall inspection and 15 no concrete cores to be taken", manual handling, only lift what you are comfortable with use 2 men to move equipment if required ramps to be used to load/unload larger wheeled items of plant from the van
constructing a concrete plinth to cap off storage pipe risers, fencing/security," suitable fencing/barriers/demarcation shall be erected to separate welfare facilities from material storage areas, parking areas etc"
excavate trial holes, unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows," only clear vegetation that is necessary, vegetation assists with draining of the land"
